"Transaction ID","Transaction Type","Transaction Created Date","Transaction Modified Date","Product ID","Quantity","Purchase Order ID","Customer Order ID","Comments"
"100","1","2006-04-04 11:00:54","2006-04-04 11:00:54","57","100","","",""
"101","2","2006-04-04 11:00:56","2006-04-04 11:08:49","57","100","","","Fill Back Ordered product, Order #46"
"102","1","2006-04-04 11:01:14","2006-04-04 11:01:14","34","50","","",""
"103","1","2006-04-04 11:01:35","2006-04-04 11:01:35","43","250","","",""
"104","3","2006-04-04 11:01:37","2006-04-04 11:01:37","43","300","","","Fill Back Ordered product, Order #41"
"105","1","2006-04-04 11:01:55","2006-04-04 11:01:55","8","25","","",""
"106","2","2006-04-04 11:01:58","2006-04-04 11:07:37","8","25","","","Fill Back Ordered product, Order #48"
"107","1","2006-04-04 11:02:17","2006-04-04 11:02:17","34","300","","",""
"108","2","2006-04-04 11:02:19","2006-04-04 11:08:14","34","300","","","Fill Back Ordered product, Order #47"
"109","1","2006-04-04 11:02:37","2006-04-04 11:02:37","19","25","","",""
"110","2","2006-04-04 11:02:39","2006-04-04 11:41:14","19","10","","","Fill Back Ordered product, Order #42"
"111","1","2006-04-04 11:02:56","2006-04-04 11:02:56","19","10","","",""
"112","2","2006-04-04 11:02:58","2006-04-04 11:07:37","19","25","","","Fill Back Ordered product, Order #48"
"113","1","2006-04-04 11:03:12","2006-04-04 11:03:12","72","50","","",""
"114","2","2006-04-04 11:03:14","2006-04-04 11:08:49","72","50","","","Fill Back Ordered product, Order #46"
"115","1","2006-04-04 11:03:38","2006-04-04 11:03:38","41","50","","",""
"116","2","2006-04-04 11:03:39","2006-04-04 11:09:24","41","50","","","Fill Back Ordered product, Order #45"
"117","2","2006-04-04 11:04:55","2006-04-04 11:05:04","34","87","","",""
"118","2","2006-04-04 11:35:50","2006-04-04 11:35:54","51","30","","",""
"119","2","2006-04-04 11:35:51","2006-04-04 11:35:54","7","30","","",""
"120","2","2006-04-04 11:36:15","2006-04-04 11:36:21","17","40","","",""
"121","2","2006-04-04 11:36:39","2006-04-04 11:36:47","6","90","","",""
"122","2","2006-04-04 11:37:06","2006-04-04 11:37:09","4","30","","",""
"123","2","2006-04-04 11:37:45","2006-04-04 11:37:49","48","40","","",""
"124","2","2006-04-04 11:38:07","2006-04-04 11:38:11","48","40","","",""
"125","2","2006-04-04 11:38:27","2006-04-04 11:38:32","41","10","","",""
"126","2","2006-04-04 11:38:48","2006-04-04 11:38:53","43","5","","",""
"127","2","2006-04-04 11:39:12","2006-04-04 11:39:29","40","40","","",""
"128","2","2006-04-04 11:39:50","2006-04-04 11:39:53","8","20","","",""
"129","2","2006-04-04 11:40:13","2006-04-04 11:40:16","80","15","","",""
"130","2","2006-04-04 11:40:32","2006-04-04 11:40:38","74","20","","",""
"131","2","2006-04-04 11:41:39","2006-04-04 11:41:45","72","40","","",""
"132","2","2006-04-04 11:42:17","2006-04-04 11:42:26","3","50","","",""
"133","2","2006-04-04 11:42:24","2006-04-04 11:42:26","8","3","","",""
"134","2","2006-04-04 11:42:48","2006-04-04 11:43:08","20","40","","",""
"135","2","2006-04-04 11:43:05","2006-04-04 11:43:08","52","40","","",""
"136","3","2006-04-25 17:04:05","2006-04-25 17:04:57","56","110","","",""
